dt,wy,cms,area_km2,percent_area,volume_m3
12/1/2012,2013,48.7,0.72864,35.05720502,194441.0669
12/2/2012,2013,88.91,1.319904,63.50481051,677823.0794
12/3/2012,2013,75.32,1.265481,60.88634561,523465.8549
12/4/2012,2013,30.3,0.330417,15.89742055,82853.61634
12/5/2012,2013,32.56,0.353367,17.00161858,90344.31652
12/6/2012,2013,43.04,0.567882,27.32262256,148387.3704
12/7/2012,2013,27.78,0.300195,14.4433433,77097.29148
12/8/2012,2013,20.33,0.28458,13.69205562,63715.89278
12/9/2012,2013,16.03,0.282087,13.5721094,56939.2395
12/10/2012,2013,13,0.276102,13.28415187,51857.81869
12/11/2012,2013,10.96,0.195228,9.393044605,35055.38892
12/12/2012,2013,10.53,0.193905,9.329390836,34555.22952
12/13/2012,2013,11.61,0.196686,9.463193657,35811.44382
12/14/2012,2013,9.29,0.041895,2.015702685,12522.68647
12/18/2012,2013,24.41,0.071532,3.441633714,34947.76704
12/19/2012,2013,18.72,0.059679,2.871347906,24011.08434
12/20/2012,2013,15.06,0.058905,2.834108286,18462.46221
12/21/2012,2013,13.17,0.056619,2.724121502,15597.19013
12/22/2012,2013,25.57,0.07272,3.4987922,37691.26131
12/23/2012,2013,48.99,0.744255,35.8084927,197598.6131
12/24/2012,2013,55.78,0.939465,45.20067127,274514.3771
12/25/2012,2013,34.55,0.299529,14.4112999,83212.13028
12/26/2012,2013,67.68,1.171269,56.35350442,423723.9684
12/27/2012,2013,44.74,0.668529,32.16507221,164349.6181
12/28/2012,2013,26.87,0.28557,13.73968769,73998.66652
12/29/2012,2013,20.39,0.271818,13.07803491,62650.82969
12/30/2012,2013,16.76,0.269829,12.98233774,56931.74917
12/31/2012,2013,14.16,0.267651,12.87754718,52835.43806
1/1/2013,2013,12.26,0.255393,12.28777553,49841.97993
1/2/2013,2013,11.13,0.251829,12.11630007,49100.61122
1/3/2013,2013,10.19,0.191907,9.233260654,34159.75464
1/4/2013,2013,9.34,0.041895,2.015702685,12530.35915
2/9/2014,2014,57.76636706,0.952668,45.8359099,295874.9751
2/10/2014,2014,71.35845343,1.182744,56.90560344,474294.3666
2/11/2014,2014,27.41070751,0.286614,13.78991787,75157.51533
2/12/2014,2014,12.34614512,0.257976,12.41205193,49977.70194
2/13/2014,2014,7.758815968,0.249498,12.00414819,47597.92383
2/14/2014,2014,5.74831986,0.248364,11.94958782,47131.72801
2/15/2014,2014,4.530695456,0.247419,11.90412084,46849.38406
2/16/2014,2014,4.16257645,0.247239,11.89546046,46764.02426
2/17/2014,2014,4.105942757,0.247212,11.89416141,46750.89199
2/18/2014,2014,3.539605825,0.041121,1.978463065,11640.26736
3/1/2014,2014,28.88318353,0.159354,7.667031522,45988.56345
3/2/2014,2014,14.24337384,0.169299,8.145517337,35933.37344
3/3/2014,2014,10.67545117,0.152919,7.357423054,31604.80917
3/4/2014,2014,18.43426714,0.17208,8.279320157,42469.26499
3/5/2014,2014,16.48040472,0.170964,8.225625821,39422.12636
3/6/2014,2014,31.14853126,0.219771,10.57388697,56514.87394
3/7/2014,2014,27.12753904,0.184815,8.892041811,57153.86623
3/8/2014,2014,17.83961336,0.171828,8.26719563,41541.87497
3/9/2014,2014,13.62040321,0.168336,8.099184321,34961.82199
3/10/2014,2014,11.80812503,0.15507,7.460914556,32878.57138
3/11/2014,2014,10.76040171,0.15309,7.365650412,31700.34134
3/12/2014,2014,8.608321366,0.1521,7.31801834,30842.74577
3/13/2014,2014,7.220795883,0.151578,7.292903247,30550.38597
3/14/2014,2014,6.371290485,0.041715,2.007042308,12074.79977
12/12/2014,2015,45.30696,0.641187,30.84956098,161489.5636
12/13/2014,2015,15.9140697,0.213021,10.24912285,41735.54378
12/14/2014,2015,6.6261429,0.192798,9.276129519,33512.36334
12/15/2014,2015,6.65445975,0.192798,9.276129519,33518.78655
12/16/2014,2015,4.6439634,0.191421,9.209877637,33062.73905
12/17/2014,2015,9.25960995,0.194076,9.337618194,34109.72134
12/18/2014,2015,6.14475645,0.192501,9.261839898,33403.16887
12/19/2014,2015,9.2879268,0.194076,9.337618194,34116.14454
2/7/2015,2015,25.51348185,0.072675,3.496627106,37557.59129
2/8/2015,2015,93.445605,1.337337,64.343568,721649.7866
2/9/2015,2015,140.451576,1.505304,72.42499855,1104604.478
2/10/2015,2015,53.802015,0.97623,46.96955321,262307.3916
2/11/2015,2015,31.714872,0.361728,17.40389308,89505.32048
2/12/2015,2015,22.22872725,0.300708,14.46802537,68669.76831
2/13/2015,2015,17.0467437,0.298512,14.36236877,60502.38073
2/14/2015,2015,13.6487217,0.295011,14.19392445,55146.71675
2/15/2015,2015,11.35505685,0.28044,13.49286695,52479.69885
2/16/2015,2015,9.6843627,0.27855,13.401933,51158.75837
2/17/2015,2015,8.35347075,0.196884,9.472720071,35258.50723
2/18/2015,2015,7.39069785,0.151659,7.296800417,30586.18531
12/22/2015,2016,82.68519324,1.296009,62.3551455,610300.6053
12/23/2015,2016,44.74061826,0.680373,32.734925,165213.1202
12/24/2015,2016,19.99169398,0.283185,13.6249377,62876.24455
12/25/2015,2016,16.28218703,0.280953,13.51754902,57030.31831
12/26/2015,2016,9.995846991,0.261936,12.60258022,48966.20993
12/27/2015,2016,7.192479138,0.260604,12.53849343,48314.30453
12/28/2015,2016,6.031488411,0.25992,12.505584,48044.32351
12/29/2015,2016,5.210299848,0.259434,12.48220099,47853.36132
12/30/2015,2016,4.360794438,0.191277,9.202949336,32998.5069
1/18/2016,2016,31.1485317,0.219771,10.57388697,56514.87599
1/19/2016,2016,33.41387946,0.236763,11.39142654,67041.18662
1/20/2016,2016,32.84754252,0.241551,11.62179256,72535.41682
1/21/2016,2016,23.16318085,0.169479,8.154177713,49011.4977
1/22/2016,2016,19.02892118,0.172224,8.286248459,43396.65542
1/23/2016,2016,50.9703246,0.804951,38.72877173,219160.5665
1/24/2016,2016,50.12081919,0.775458,37.30976901,204428.1922
1/25/2016,2016,32.56437405,0.285705,13.74618297,75694.76533
1/26/2016,2016,24.21090419,0.221517,10.65789263,54821.28562
1/27/2016,2016,19.42535704,0.216711,10.42666057,47664.90196
1/28/2016,2016,16.22555333,0.214875,10.33832473,42631.93155
1/29/2016,2016,15.00792891,0.213894,10.29112567,40716.73042
1/30/2016,2016,117.7980835,1.430856,68.84306673,929283.2262
1/31/2016,2016,75.03964455,1.274607,61.32542671,521761.6531
2/1/2016,2016,50.40398766,0.862893,41.516547,224047.1001
2/2/2016,2016,36.24556416,0.385218,18.53407225,104137.9882
2/3/2016,2016,29.16635241,0.321966,15.49081586,80671.839
2/4/2016,2016,24.15427049,0.300609,14.46326216,70898.65058
2/5/2016,2016,20.61466462,0.29673,14.27663105,65740.19541
2/6/2016,2016,17.98119785,0.29556,14.2203386,61589.56053
2/7/2016,2016,16.0273354,0.280755,13.50802261,56628.68978
2/8/2016,2016,14.66812675,0.213606,10.27726907,40182.2557
2/9/2016,2016,14.1584235,0.169209,8.141187148,35800.88946
2/10/2016,2016,13.98852242,0.168975,8.129928659,35535.92089
